Профиль №1  с 01.10.2022 по 31.10.2022
Счетчик № 0816190453
Сохранен 01.11.2022 00:28:33

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
01.10.2022	00:00-01:00					Нет данных
01.10.2022	01:00-02:00					Нет данных
01.10.2022	02:00-03:00					Нет данных
01.10.2022	03:00-04:00					Нет данных
01.10.2022	04:00-05:00					Нет данных
01.10.2022	05:00-06:00					Нет данных
01.10.2022	06:00-07:00					Нет данных
01.10.2022	07:00-08:00					Нет данных
01.10.2022	08:00-09:00					Нет данных
01.10.2022	09:00-10:00					Нет данных
01.10.2022	10:00-11:00					Нет данных
01.10.2022	11:00-12:00					Нет данных
01.10.2022	12:00-13:00					Нет данных
01.10.2022	13:00-14:00	000,0044	000,0000	000,0028	000,0000	Недостов.
01.10.2022	14:00-15:00	000,0221	000,0000	000,0118	000,0000	
01.10.2022	15:00-16:00	000,0220	000,0000	000,0118	000,0000	
01.10.2022	16:00-17:00	000,0210	000,0000	000,0133	000,0000	
01.10.2022	17:00-18:00	000,0217	000,0000	000,0137	000,0000	
01.10.2022	18:00-19:00	000,0188	000,0000	000,0137	000,0000	
01.10.2022	19:00-20:00	000,0177	000,0000	000,0137	000,0000	
01.10.2022	20:00-21:00	000,0172	000,0000	000,0138	000,0000	
01.10.2022	21:00-22:00	000,0167	000,0000	000,0138	000,0000	
01.10.2022	22:00-23:00	000,0172	000,0000	000,0138	000,0000	
01.10.2022	23:00-24:00	000,0172	000,0000	000,0139	000,0000	
02.10.2022	00:00-01:00	000,0170	000,0000	000,0139	000,0000	
02.10.2022	01:00-02:00	000,0164	000,0000	000,0140	000,0000	
02.10.2022	02:00-03:00	000,0171	000,0000	000,0139	000,0000	
02.10.2022	03:00-04:00	000,0171	000,0000	000,0140	000,0000	
02.10.2022	04:00-05:00	000,0170	000,0000	000,0140	000,0000	
02.10.2022	05:00-06:00	000,0180	000,0000	000,0140	000,0000	
02.10.2022	06:00-07:00	000,0187	000,0000	000,0146	000,0000	
02.10.2022	07:00-08:00	000,0185	000,0000	000,0148	000,0000	
02.10.2022	08:00-09:00	000,0170	000,0000	000,0087	000,0000	
02.10.2022	09:00-10:00	000,0170	000,0000	000,0083	000,0000	
02.10.2022	10:00-11:00	000,0171	000,0000	000,0079	000,0000	
02.10.2022	11:00-12:00	000,0148	000,0000	000,0076	000,0000	
02.10.2022	12:00-13:00	000,0131	000,0000	000,0110	000,0000	
02.10.2022	13:00-14:00	000,0129	000,0000	000,0146	000,0000	
02.10.2022	14:00-15:00	000,0130	000,0000	000,0153	000,0000	
02.10.2022	15:00-16:00	000,0124	000,0000	000,0135	000,0000	
02.10.2022	16:00-17:00	000,0138	000,0000	000,0088	000,0000	
02.10.2022	17:00-18:00	000,0160	000,0000	000,0078	000,0000	
02.10.2022	18:00-19:00	000,0185	000,0000	000,0078	000,0000	
02.10.2022	19:00-20:00	000,0185	000,0000	000,0079	000,0000	
02.10.2022	20:00-21:00	000,0179	000,0000	000,0079	000,0000	
02.10.2022	21:00-22:00	000,0167	000,0000	000,0078	000,0000	
02.10.2022	22:00-23:00	000,0164	000,0000	000,0079	000,0000	
02.10.2022	23:00-24:00	000,0164	000,0000	000,0078	000,0000	
03.10.2022	00:00-01:00	000,0158	000,0000	000,0079	000,0000	
03.10.2022	01:00-02:00	000,0158	000,0000	000,0078	000,0000	
03.10.2022	02:00-03:00	000,0159	000,0000	000,0078	000,0000	
03.10.2022	03:00-04:00	000,0165	000,0000	000,0079	000,0000	
03.10.2022	04:00-05:00	000,0164	000,0000	000,0078	000,0000	
03.10.2022	05:00-06:00	000,0169	000,0000	000,0079	000,0000	
03.10.2022	06:00-07:00	000,0170	000,0000	000,0082	000,0000	
03.10.2022	07:00-08:00	000,0085	000,0000	000,0046	000,0000	
03.10.2022	08:00-09:00	000,0201	000,0000	000,0084	000,0000	
03.10.2022	09:00-10:00	000,0221	000,0000	000,0091	000,0000	
03.10.2022	10:00-11:00	000,0191	000,0000	000,0079	000,0000	
03.10.2022	11:00-12:00	000,0201	000,0000	000,0086	000,0000	
03.10.2022	12:00-13:00	000,0204	000,0000	000,0090	000,0000	
03.10.2022	13:00-14:00	000,0184	000,0000	000,0078	000,0000	
03.10.2022	14:00-15:00	000,0175	000,0000	000,0071	000,0000	
03.10.2022	15:00-16:00	000,0190	000,0000	000,0072	000,0000	
03.10.2022	16:00-17:00	000,0165	000,0000	000,0075	000,0000	
03.10.2022	17:00-18:00	000,0183	000,0000	000,0088	000,0000	
03.10.2022	18:00-19:00	000,0171	000,0000	000,0085	000,0000	
03.10.2022	19:00-20:00	000,0175	000,0000	000,0086	000,0000	
03.10.2022	20:00-21:00	000,0165	000,0000	000,0086	000,0000	
03.10.2022	21:00-22:00	000,0167	000,0000	000,0087	000,0000	
03.10.2022	22:00-23:00	000,0162	000,0000	000,0087	000,0000	
03.10.2022	23:00-24:00	000,0163	000,0000	000,0087	000,0000	
04.10.2022	00:00-01:00	000,0160	000,0000	000,0087	000,0000	
04.10.2022	01:00-02:00	000,0164	000,0000	000,0087	000,0000	
04.10.2022	02:00-03:00	000,0164	000,0000	000,0087	000,0000	
04.10.2022	03:00-04:00	000,0165	000,0000	000,0087	000,0000	
04.10.2022	04:00-05:00	000,0167	000,0000	000,0087	000,0000	
04.10.2022	05:00-06:00	000,0181	000,0000	000,0088	000,0000	
04.10.2022	06:00-07:00	000,0182	000,0000	000,0087	000,0000	
04.10.2022	07:00-08:00	000,0185	000,0000	000,0088	000,0000	
04.10.2022	08:00-09:00	000,0140	000,0000	000,0067	000,0000	
04.10.2022	09:00-10:00	000,0158	000,0000	000,0085	000,0000	
04.10.2022	10:00-11:00	000,0161	000,0000	000,0085	000,0000	
04.10.2022	11:00-12:00	000,0161	000,0000	000,0081	000,0000	
04.10.2022	12:00-13:00	000,0164	000,0000	000,0095	000,0000	
04.10.2022	13:00-14:00	000,0135	000,0000	000,0073	000,0000	
04.10.2022	14:00-15:00	000,0146	000,0000	000,0072	000,0000	
04.10.2022	15:00-16:00	000,0154	000,0000	000,0075	000,0000	
04.10.2022	16:00-17:00	000,0185	000,0000	000,0096	000,0000	
04.10.2022	17:00-18:00	000,0189	000,0000	000,0091	000,0000	
04.10.2022	18:00-19:00	000,0174	000,0000	000,0082	000,0000	
04.10.2022	19:00-20:00	000,0172	000,0000	000,0082	000,0000	
04.10.2022	20:00-21:00	000,0164	000,0000	000,0082	000,0000	
04.10.2022	21:00-22:00	000,0167	000,0000	000,0082	000,0000	
04.10.2022	22:00-23:00	000,0170	000,0000	000,0082	000,0000	
04.10.2022	23:00-24:00	000,0171	000,0000	000,0085	000,0000	
05.10.2022	00:00-01:00	000,0169	000,0000	000,0082	000,0000	
05.10.2022	01:00-02:00	000,0163	000,0000	000,0082	000,0000	
05.10.2022	02:00-03:00	000,0165	000,0000	000,0082	000,0000	
05.10.2022	03:00-04:00	000,0162	000,0000	000,0082	000,0000	
05.10.2022	04:00-05:00	000,0143	000,0000	000,0066	000,0000	
05.10.2022	05:00-06:00	000,0128	000,0000	000,0053	000,0000	
05.10.2022	06:00-07:00	000,0125	000,0000	000,0059	000,0000	
05.10.2022	07:00-08:00	000,0123	000,0000	000,0059	000,0000	
05.10.2022	08:00-09:00	000,0122	000,0000	000,0058	000,0000	
05.10.2022	09:00-10:00	000,0121	000,0000	000,0059	000,0000	
05.10.2022	10:00-11:00	000,0112	000,0000	000,0057	000,0000	
05.10.2022	11:00-12:00	000,0086	000,0000	000,0052	000,0000	
05.10.2022	12:00-13:00	000,0104	000,0000	000,0068	000,0000	
05.10.2022	13:00-14:00	000,0120	000,0000	000,0078	000,0000	
05.10.2022	14:00-15:00	000,0141	000,0000	000,0112	000,0000	
05.10.2022	15:00-16:00	000,0176	000,0000	000,0122	000,0000	
05.10.2022	16:00-17:00	000,0130	000,0000	000,0084	000,0000	
05.10.2022	17:00-18:00	000,0130	000,0000	000,0074	000,0000	
05.10.2022	18:00-19:00	000,0138	000,0000	000,0083	000,0000	
05.10.2022	19:00-20:00	000,0165	000,0000	000,0127	000,0000	
05.10.2022	20:00-21:00	000,0143	000,0000	000,0091	000,0000	
05.10.2022	21:00-22:00	000,0137	000,0000	000,0083	000,0000	
05.10.2022	22:00-23:00	000,0143	000,0000	000,0083	000,0000	
05.10.2022	23:00-24:00	000,0165	000,0000	000,0097	000,0000	
06.10.2022	00:00-01:00	000,0185	000,0000	000,0113	000,0000	
06.10.2022	01:00-02:00	000,0109	000,0000	000,0061	000,0000	
06.10.2022	02:00-03:00	000,0109	000,0000	000,0060	000,0000	
06.10.2022	03:00-04:00	000,0111	000,0000	000,0059	000,0000	
06.10.2022	04:00-05:00	000,0138	000,0000	000,0091	000,0000	
06.10.2022	05:00-06:00	000,0169	000,0000	000,0094	000,0000	
06.10.2022	06:00-07:00	000,0169	000,0000	000,0092	000,0000	
06.10.2022	07:00-08:00	000,0168	000,0000	000,0098	000,0000	
06.10.2022	08:00-09:00	000,0167	000,0000	000,0092	000,0000	
06.10.2022	09:00-10:00	000,0164	000,0000	000,0098	000,0000	
06.10.2022	10:00-11:00	000,0161	000,0000	000,0091	000,0000	
06.10.2022	11:00-12:00	000,0160	000,0000	000,0093	000,0000	
06.10.2022	12:00-13:00	000,0161	000,0000	000,0088	000,0000	
06.10.2022	13:00-14:00	000,0174	000,0000	000,0080	000,0000	
06.10.2022	14:00-15:00	000,0175	000,0000	000,0079	000,0000	
06.10.2022	15:00-16:00	000,0142	000,0000	000,0062	000,0000	
06.10.2022	16:00-17:00	000,0183	000,0000	000,0078	000,0000	
06.10.2022	17:00-18:00	000,0146	000,0000	000,0054	000,0000	
06.10.2022	18:00-19:00	000,0139	000,0000	000,0047	000,0000	
06.10.2022	19:00-20:00	000,0146	000,0000	000,0057	000,0000	
06.10.2022	20:00-21:00	000,0174	000,0000	000,0081	000,0000	
06.10.2022	21:00-22:00	000,0181	000,0000	000,0087	000,0000	
06.10.2022	22:00-23:00	000,0176	000,0000	000,0077	000,0000	
06.10.2022	23:00-24:00	000,0121	000,0000	000,0049	000,0000	
07.10.2022	00:00-01:00	000,0127	000,0000	000,0054	000,0000	
07.10.2022	01:00-02:00	000,0121	000,0000	000,0052	000,0000	
07.10.2022	02:00-03:00	000,0119	000,0000	000,0047	000,0000	
07.10.2022	03:00-04:00	000,0119	000,0000	000,0046	000,0000	
07.10.2022	04:00-05:00	000,0150	000,0000	000,0060	000,0000	
07.10.2022	05:00-06:00	000,0150	000,0000	000,0059	000,0000	
07.10.2022	06:00-07:00	000,0157	000,0000	000,0062	000,0000	
07.10.2022	07:00-08:00	000,0193	000,0000	000,0088	000,0000	
07.10.2022	08:00-09:00	000,0174	000,0000	000,0077	000,0000	
07.10.2022	09:00-10:00	000,0147	000,0000	000,0064	000,0000	
07.10.2022	10:00-11:00	000,0141	000,0000	000,0064	000,0000	
07.10.2022	11:00-12:00	000,0177	000,0000	000,0078	000,0000	
07.10.2022	12:00-13:00	000,0178	000,0000	000,0088	000,0000	
07.10.2022	13:00-14:00	000,0157	000,0000	000,0078	000,0000	
07.10.2022	14:00-15:00	000,0144	000,0000	000,0060	000,0000	
07.10.2022	15:00-16:00	000,0132	000,0000	000,0054	000,0000	
07.10.2022	16:00-17:00	000,0130	000,0000	000,0053	000,0000	
07.10.2022	17:00-18:00	000,0145	000,0000	000,0047	000,0000	
07.10.2022	18:00-19:00	000,0145	000,0000	000,0048	000,0000	
07.10.2022	19:00-20:00	000,0144	000,0000	000,0052	000,0000	
07.10.2022	20:00-21:00	000,0134	000,0000	000,0046	000,0000	
07.10.2022	21:00-22:00	000,0137	000,0000	000,0049	000,0000	
07.10.2022	22:00-23:00	000,0130	000,0000	000,0046	000,0000	
07.10.2022	23:00-24:00	000,0122	000,0000	000,0046	000,0000	
08.10.2022	00:00-01:00	000,0126	000,0000	000,0046	000,0000	
08.10.2022	01:00-02:00	000,0125	000,0000	000,0046	000,0000	
08.10.2022	02:00-03:00	000,0121	000,0000	000,0046	000,0000	
08.10.2022	03:00-04:00	000,0133	000,0000	000,0051	000,0000	
08.10.2022	04:00-05:00	000,0131	000,0000	000,0047	000,0000	
08.10.2022	05:00-06:00	000,0137	000,0000	000,0047	000,0000	
08.10.2022	06:00-07:00	000,0160	000,0000	000,0058	000,0000	
08.10.2022	07:00-08:00	000,0207	000,0000	000,0098	000,0000	
08.10.2022	08:00-09:00	000,0163	000,0000	000,0070	000,0000	
08.10.2022	09:00-10:00	000,0132	000,0000	000,0053	000,0000	
08.10.2022	10:00-11:00	000,0136	000,0000	000,0048	000,0000	
08.10.2022	11:00-12:00	000,0136	000,0000	000,0049	000,0000	
08.10.2022	12:00-13:00	000,0130	000,0000	000,0048	000,0000	
08.10.2022	13:00-14:00	000,0149	000,0000	000,0061	000,0000	
08.10.2022	14:00-15:00	000,0143	000,0000	000,0061	000,0000	
08.10.2022	15:00-16:00	000,0125	000,0000	000,0051	000,0000	
08.10.2022	16:00-17:00	000,0127	000,0000	000,0067	000,0000	
08.10.2022	17:00-18:00	000,0137	000,0000	000,0047	000,0000	
08.10.2022	18:00-19:00	000,0133	000,0000	000,0046	000,0000	
08.10.2022	19:00-20:00	000,0118	000,0000	000,0043	000,0000	
